bundle,label,icd10,default_caps,default_interventions,mhis_code,mhis_procedure,mhis_rate,alos
Cardiac,Acute STEMI (Heart Attack),I21.9,Cardiologist;Cathlab;ICU,Aspirin 300mg;O2 Support;ECG,MC0101,PTCA with Diagnostic Angiography,65000,5
Cardiac,NSTEMI / Unstable Angina,I21.4,Cardiologist;ICU,Aspirin 300mg;Heparin IV,MC0102,Intensive Medical Management - Cardiac,15000,4
Cardiac,Acute Heart Failure / Pulmonary Edema,I50.9,Cardiologist;Ventilator;ICU,Furosemide IV;BIPAP,MC0103,Intensive Care - Heart Failure,20000,6
Cardiac,Cardiogenic Shock,R57.0,Cardiologist;Cathlab;Ventilator;ICU,Inotropes;Intubation Prep,MC0104,Advanced Cardiac ICU with Vent,45000,8
Cardiac,Complete Heart Block,I44.2,Cardiologist;Cathlab;ICU,Atropine IV;Transcutaneous Pacing,MC0105,Temporary / Permanent Pacemaker Implantation,55000,4
Cardiac,Aortic Dissection,I71.0,CTVS Surgeon;Cardiologist;ICU;OR,Strict BP Control;Labetalol IV,MC0106,Major Thoracic/Aortic Surgery,150000,12
Stroke,Acute Ischemic Stroke,I63.9,Neurologist;CT Scanner;ICU,Keep SBP < 185;Protect Airway,MN0101,Acute Ischemic Stroke with Thrombolysis,40000,7
Stroke,Hemorrhagic Stroke (Intracerebral),I61.9,Neurosurgeon;CT Scanner;ICU,Strict BP Control;Elevate Head,SV0804,Craniotomy / Evacuation of Hematoma,45000,10
Stroke,Subarachnoid Hemorrhage (SAH),I60.9,Neurosurgeon;CT Scanner;ICU,Nimotop;Strict BP Control,MN0102,Aneurysm Clipping / Coiling,85000,14
Neurological,Status Epilepticus (Prolonged Seizure),G41.9,Neurologist;ICU;Ventilator,Lorazepam IV;Protect Airway,MN0103,Neurology ICU Management,20000,5
Neurological,Acute Meningitis / Encephalitis,G00.9,Neurologist;ICU,IV Antibiotics;Antivirals,MN0104,Severe CNS Infection ICU Care,30000,8
Trauma,Severe Polytrauma (Multiple Injuries),T07,Trauma Surgeon;Bloodbank;ICU;CT Scanner,Spinal Immobilization;Pelvic Binder,ST0101,Polytrauma Intensive Care & Major Surgery,100000,15
Trauma,Severe Head Injury (TBI),S06.9,Neurosurgeon;CT Scanner;ICU;Ventilator,Intubation;Elevate Head 30 deg,ST0102,Severe TBI ICU Management,65000,12
Trauma,Traumatic Amputation / Severe Hemorrhage,T14.1,Vascular Surgeon;Bloodbank;OR,Tourniquet Application;TXA 1g IV,ST0103,Vascular Repair and Major Amputation,35000,5
Trauma,Flail Chest / Severe Pulmonary Contusion,S22.5,Cardiothoracic Surgeon;ICU;Ventilator,O2 Support;Chest Tube Prep,ST0104,Thoracic Trauma ICU Care,40000,8
Trauma,Spinal Cord Injury (Paralysis),S14.1,Neurosurgeon;Orthopedic Surgeon;MRI,Spinal Immobilization;High Dose Steroids,ST0105,Spinal Decompression & Fixation,90000,14
Orthopedic,Fracture Neck of Femur,S72.0,Orthopedic Surgeon;Bloodbank;OR,Splinting;Pain Management,SO0301,Open Reduction Internal Fixation (ORIF),30000,6
Orthopedic,Severe Pelvic Fracture,S32.8,Orthopedic Surgeon;Bloodbank;ICU,Pelvic Binder;Aggressive Fluid Resus,SO0302,Pelvic Fixation / Damage Control Surgery,45000,8
Orthopedic,Open Tibia/Fibula Fracture,S82.9,Orthopedic Surgeon;OR,Splinting;IV Antibiotics,SO0303,External Fixation / Debridement,25000,5
Orthopedic,Traumatic Joint Dislocation (Major),S43.0,Orthopedic Surgeon,Immobilization;Analgesia,SO0304,Closed/Open Joint Reduction under GA,15000,2
Maternal,Antepartum Hemorrhage (Severe),O46.9,Obstetrician;Bloodbank;NICU;OR,Left Lateral Decubitus;Fluid Bolus,MG0102,Emergency C-Section with High Risk,24000,7
Maternal,Eclampsia / Severe Pre-Eclampsia,O15.9,Obstetrician;ICU;NICU,MgSO4 4g IV Bolus;Labetalol,MG0103,Eclampsia Management in ICU,18000,5
Maternal,Postpartum Hemorrhage (PPH),O72.1,Obstetrician;Bloodbank;OR,Uterine Massage;Oxytocin IV,MG0104,PPH Management including Hysterectomy,28000,6
Maternal,Ruptured Ectopic Pregnancy,O00.9,Obstetrician;Bloodbank;OR,Rapid IV Fluids;O-Negative Blood,MG0105,Emergency Laparotomy for Ectopic,20000,4
Maternal,Ruptured Uterus,O71.1,Obstetrician;Bloodbank;OR;ICU,Massive Transfusion Protocol;Fluid Resus,MG0106,Emergency Laparotomy & Hysterectomy,35000,8
Maternal,Maternal Sepsis / Puerperal Sepsis,O85,Obstetrician;ICU;Ventilator,Broad Spectrum Antibiotics;Fluid Bolus,MG0107,Maternal ICU Sepsis Protocol,30000,7
Pediatric,Pediatric Severe Asthma Exacerbation,J46,Pediatrician;PICU;Ventilator,Albuterol Nebulizer;IV Steroids,MP0103,PICU Management - Respiratory,15000,4
Pediatric,Pediatric Status Epilepticus (Seizures),R56.0,Pediatrician;PICU,Lorazepam IV;Protect Airway,MP0104,Pediatric Neurology Intensive Care,12000,3
Pediatric,Pediatric Diabetic Ketoacidosis (DKA),E10.1,Pediatrician;PICU,Normal Saline Bolus;Insulin Drip Prep,MP0105,PICU Metabolic Management,18000,5
Pediatric,Severe Dehydration with Hypovolemic Shock,E86.0,Pediatrician;PICU,20cc/kg Fluid Bolus;IO Access Prep,MP0106,PICU Shock Management,14000,3
Pediatric,Dengue Hemorrhagic Fever / Shock,A97.2,Pediatrician;PICU;Bloodbank,Fluid Resus;Blood Products Prep,MP0107,Severe Dengue PICU Protocol,22000,6
Neonatal,Neonatal Respiratory Distress Syndrome,P22.0,Neonatologist;NICU;Ventilator,Surfactant Prep;CPAP,MP0101,NICU Level 3 Advanced Care,35000,10
Neonatal,Neonatal Sepsis,P36.9,Neonatologist;NICU,IV Antibiotics;Thermal Regulation,MP0102,NICU Sepsis Management Protocol,25000,8
Neonatal,Meconium Aspiration Syndrome,P24.0,Neonatologist;NICU;Ventilator,Intubation Prep;Suctioning,MP0108,NICU Level 3 Mechanical Ventilation,40000,12
Neonatal,Neonatal Seizures,P90,Neonatologist;NICU,Phenobarbital IV;O2 Support,MP0109,NICU Neurological Care,20000,7
