bundle,icd10,label,default_caps,default_interventions,age_min,age_max
Maternal,O72.0,Third-stage haemorrhage,ICU;BloodBank;OBGYN_OT;OR;Ventilator,IV access;IV fluids;TXA;Uterotonics;Crossmatch;Oxygen,12,55
Maternal,O72.1,Immediate postpartum haemorrhage,ICU;BloodBank;OBGYN_OT;OR;Ventilator,IV access;IV fluids;TXA;Uterotonics;Crossmatch;Oxygen,12,55
Maternal,O72.2,Delayed secondary postpartum haemorrhage,ICU;BloodBank;OBGYN_OT,IV access;IV fluids;Crossmatch;Antibiotics;Oxygen,12,55
Maternal,O14.1,Severe pre-eclampsia,ICU;OBGYN_OT,IV access;BP monitoring;Seizure precautions;Oxygen;Rapid transfer,12,55
Maternal,O15.0,Eclampsia in pregnancy,ICU;Ventilator;OBGYN_OT,Airway positioning;Oxygen;Seizure management;IV access;Rapid transfer,12,55
Maternal,O71.1,Rupture of uterus during labour,ICU;BloodBank;OBGYN_OT;OR;Ventilator,IV access;IV fluids;Crossmatch;Oxygen;Prepare for OR,12,55
Maternal,O85,Puerperal sepsis,ICU,IV access;IV fluids;Antibiotics;Oxygen;Temperature monitoring,12,55
Maternal,O44.1,Placenta praevia with haemorrhage,ICU;BloodBank;OBGYN_OT;OR,IV access;IV fluids;Crossmatch;Oxygen;Prepare for OR,12,55
Maternal,O45.9,Placental abruption unspecified,ICU;BloodBank;OBGYN_OT;OR,IV access;IV fluids;Crossmatch;Oxygen;Prepare for OR,12,55
Maternal,O88.2,Obstetric embolism (other),ICU;Ventilator;OBGYN_OT,Airway positioning;Oxygen;IV access;Rapid transfer,12,55
Maternal,O00.1,Tubal pregnancy (ectopic),ICU;BloodBank;OR,IV access;IV fluids;Crossmatch;Oxygen;Prepare for OR,12,55
Maternal,O75.1,Shock during labour and delivery,ICU;BloodBank;Ventilator,Airway positioning;Oxygen;IV access;IV fluids;Crossmatch,12,55
Maternal,O90.0,Postpartum renal failure,Dialysis;ICU,IV access;IV fluids (as guided);Monitor urine output;Rapid transfer,12,55
Maternal,O68.0,Fetal distress (with meconium),ICU;OBGYN_OT;Ventilator,Oxygen;Airway readiness;Prepare for urgent delivery;Rapid transfer,12,55
Maternal,O13,Gestation hypertension,ICU,BP monitoring;IV access;Oxygen if needed;Rapid transfer,12,55
Maternal,O99.4,Circulatory disorders complicating pregnancy,ICU;Ventilator,ECG;Oxygen;IV access;Rapid transfer,12,55
Maternal,O88.1,Amniotic fluid embolism,ICU;Ventilator;OBGYN_OT,Airway positioning;Oxygen;IV access;CPR readiness;Rapid transfer,12,55
Maternal,O14.2,HELLP syndrome,ICU;BloodBank;OBGYN_OT;OR,IV access;Crossmatch;Oxygen;Prepare for OR,12,55
Trauma,S06.5,Traumatic subdural haemorrhage,CT;Neurosurgery;ICU;OR,Airway positioning;Immobilization;Oxygen;Neuro checks;IV access,0,120
Trauma,S06.4,Traumatic epidural haemorrhage,CT;Neurosurgery;ICU;OR,Airway positioning;Immobilization;Oxygen;Neuro checks;IV access,0,120
Trauma,S06.6,Traumatic subarachnoid haemorrhage,CT;Neurosurgery;ICU,Airway positioning;Immobilization;Oxygen;Neuro checks;IV access,0,120
Trauma,S06.0,Concussion,CT,Neuro checks;Observe;Oxygen if needed,0,120
Trauma,S36.1,Injury of liver,OR;ICU;BloodBank,IV access;IV fluids;Bleeding control;Crossmatch;Oxygen,0,120
Trauma,S36.0,Injury of spleen,OR;ICU;BloodBank,IV access;IV fluids;Bleeding control;Crossmatch;Oxygen,0,120
Trauma,S27.3,Other injury of lung,ICU;Ventilator,Airway positioning;Oxygen;IV access;Monitor breathing,0,120
Trauma,S12.9,Fracture of neck (cervical) unspecified,CT;ICU,Immobilization;Spine precautions;Oxygen;IV access,0,120
Trauma,S32.1,Fracture of sacrum,OR,Immobilization;Pain control support;IV access;Oxygen if needed,0,120
Trauma,S02.1,Fracture of base of skull,CT;Neurosurgery;ICU,Immobilization;Neuro checks;Oxygen;IV access,0,120
Trauma,T07,Unspecified multiple injuries,CT;OR;ICU;BloodBank,Immobilization;Bleeding control;IV access;IV fluids;Oxygen,0,120
Trauma,T31.2,Burns involving 20-29% TBSA,ICU;OR,Airway positioning;Oxygen;IV fluids;Burn covering;Rapid transfer,0,120
